type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Meaux (77100),600 €,1 pièce 1 chambre,"Petit immeuble de 135m2 avec 5 chambres meublées d'un lit double un bureau une commode et un chevet, l ensemble de l immeuble est climatisés, la cuisine est aménagée et équipée de lave vaisselle, four plaque de cuisson, micro ondes frigo, cafetière Nespresso. Grand salon avec trois fauteuils une télé wifi une table de 6 chaises.

L immeuble est agencé sur deux étages avec une salle de jeux ou bien salle à vivre, deux salle de bains ainsi que deux wc, une buanderie avec lave linge et sèche linge.

A 5 min de la gare à pied ainsi que les commerces et Mc Donald.

Idéal pour les étudiant(e)s et jeune travailleur(e)s tout est compris eaux ainsi que l'électricité.
Il n y a qu’ à poser ses bagages.",| Meaux| Trilport| Esbly
Location Appartement,Marly-le-Roi (78160),690 €,1 pièce 29 m²,"Studio meublé dans immeuble récent au 1er étage.

Comprenant : - Séjour avec balcon,
- Coin cuisine aménagée,
- Salle de bains avec baignoire,
- Couloir avec penderie.
Possibilité de parking
Chauffage électrique.

Gare Saint Lazare 15 min à pied ou bus très fréquent direction RER Saint Germain.

Libre 25 mai 2022.

Loyer : 650 E + 40 E.
Loyer : 690 E charges comprises",| L'Etang-la-Ville| Mareil - Marly| Marly-le-Roi
Location Appartement,Paris 14e (75014),980 €,2 pièces 1 chambre 27 m²,"2 pièces meublées 980 € Charges comprises.

Mairie du 14ème, rue Bénard, Paris.

Appartement calme, situé au 3ème étage traversant.
Entrée, kitchenette, salon, cheminée, chambre, salle d'eau.
Équipements :
- 1 canapé convertible, 1 bibliothèque TV, 1 meuble vaisselier, 1 table ronde d'antiquaire, 4 chaises.
- Chambre BZ, penderie / lingère, rideau.
- Porte blindée, double vitrages, vidéo portier, lave et sèche-linge mixte, chauffage électrique individuel à fluide calo porteur.
- Classe énergie : C.
- GES : A.

Disponible le 29 octobre 2022.

- Métros à proximité : ligne Alésia / Mouton Duvernet /Plaisance/ Didot, à 10 min à pied de la gare SNCF Montparnasse / Pasteur.
Parking vélo sur cours.

Si vous souhaitez un descriptif photographique plus complet, veuillez me communiquer votre demande par e-mail !
Contact uniquement par mail via PAP
Dans un souci d efficacité, un descriptif de votre situation professionnelle et personnelle vous sera demandé pour toutes visites",| Pernety| Alésia| Mouton-Duvernet
Location Appartement,Le Vésinet (78110),750 €,2 pièces 1 chambre 26 m²,"Pied-à-terre, chambre meublée grand confort pour 1 personne seule, avec à disposition : une grande cuisine et terrasse 60m2 .

Le Vésinet, 10 min à pied RER A (Chatou ou Le Vésinet Centre)
Au 2e étage d'un hôtel particulier, chambre meublée grand confort 13 m², très belle literie, douche et wc privatifs. Entrée et escalier privatifs.
Grande cuisine équipée 13 m² et terrasse de 60 m².
La cuisine et la terrasse sont partagées avec un autre locataire.
Internet : fibre Orange très haut débit. A partager avec un autre occupant le cas échéant.
Parking extérieur sur voie publique gratuit
Parcs et rivières du Vésinet à 5 min à pied.
Idéal pied-à-terre pour personne seule.

Loyer, charges, entretien et ménage compris.
Revenus minimum vérifiable 2.900 € nets mensuels.
Caution 2 mois hors charges. Contrat de location.",| Le Vésinet - Centre| Le Vésinet - Le Pecq| Chatou - Croissy
Location Appartement,Paris 6e (75006),1.590 €,1 pièce 32 m²,"Quartier Saint-Michel/Notre-Dame.

Grand studio meublé sans vis-à-vis, de 32m2 au deuxième étage d'un immeuble situé sur les quais de seine , avec une très belle vue sur la conciergerie et la cathédrale Notre-Dame.

Cet appartement est composé d'une entrée avec penderie, d'une grande pièce à vivre avec une cuisine séparée et équipée (micro-ondes, lave-vaisselle, lave-linge, réfrigérateur, plaque induction avec hotte, petits électroménagers, vaisselle, etc...) et d'une salle de bains.

Double vitrage.
TV.
Kit linge fourni.
Accès internet fibre.

Visite sur rendez-vous.
Loyer 1.510€/ mois + 80 € charges locative.
Bail 12 mois renouvelable.
Salaire 3 fois le loyer
Garant.
2 mois de garantie.",| Saint-Michel| Saint-Michel - Notre-Dame| Cité
Location Appartement,Bouafle (78410),880 €,3 pièces 2 chambres 65 m²,"Dans charmant village d'ile de France avec commerces essentiels :

Maison de ville sur 3 niveaux, 2 chambres dont une très grande, 60 m² loi Carrez/Boutin, 70 m² au sol. Rénovation intérieure complète de 2009, rénovation extérieure en cours.

Comprenant : rez-de-chaussée : entrée 6 m², et wc/buanderie.
1er étage : pièce de vie orientée plein sud, lumineuse, sans vis-à-vis direct, avec cuisine équipée. 2ème étage : 2 chambres et salle de bains avec douche et baignoire (éclairage et ventilation naturelle par fenêtre de toit style Vélux).

Très bonne isolation : DPE D. Chauffage électrique. Bon confort été/hiver.
Possibilité de Parking. Voiture ou moyen de déplacement individuel fortement conseillé.

Loyer : 880 E/mois charges comprises.

Garanties obligatoires :
Caution parentale, ou garantie VISALE
De 9h à 20h.",| Les Mureaux| Aubergenville - Elisabethville| Meulan - Hardricourt
Location Appartement,Paris 16e (75016),750 €,1 pièce 14 m²,"Dans bel immeuble, double digicode, gardien.

Studio meublé tout équipé, 14 m² : pièce principale, coin cuisine toute équipée (réfrigérateur, plaques chauffantes, placards), salle de bains (douche, wc, lavabo).

Double vitrage. Vue sur cour, clair et calme. Proche tous commerces.

Loyer : 700 E/mois + 50 E provision charges.
Disponible immédiatement",| Exelmans| Porte de Saint-Cloud (Parc des Princes)| Boulevard Victor - Pont du Garigliano
Location Appartement,Cergy (95000),670 €,1 pièce 23 m²,"Référence à rappeler : Cergy T1 aux 12 Colonnes.

T1 de 23 m2 situé dans une zone pavillonnaire à Cergy St Christophe, secteur des 12 colonnes
1ère étage, lumineux sans vis à vis dans un petit immeuble de 2 étages
Entrée, une belle chambre indépendante avec placard dressing, cuisine équipée ouverte sur un petit coin salon, une salle de bain avec baignoire et wc, idéal pour une couple ou un jeune actif.

Rue des maçons de Lumières Cergy
Secteur calme et sécurisé à 5 min à pied de la gare SNCF et de tous commerces de proximités
Peinture blanche, carrelage, cuisine, parquet dans la chambre, salle de bain avec baignoire.

Éligible APL.
Loyer de l' appartement : 650 euros + 20 euros de provision sur charges (eau froide)
Total loyer 670 euros
Éligible Fibre internet.

Bon dossier, idéalement avec garant ou garantie visale ou garantie Unkle
A votre disposition pour vous envoyer plus de photos ou une vidéo par Whatsapp et/ou pour une visite.",| Cergy - Saint-Christophe| Cergy - Le Haut| Osny
Location Appartement,Paris 14e (75014),1.100 €,2 pièces 1 chambre 28 m²,"2 pièces 28 m2 meublé proche Montparnasse, métro plaisance.
Appartement 1er étage, traversant et lumineux, parquet et double vitrage.
Cuisine séparée, salle de bain avec baignoire. Chambre sur rue calme.
Salon donnant sur jardin.
Une présentation par mail de votre situation personnelle est préconisée avant toute visite, un dossier complet vous sera impératif.. Visite sur rdv
Libre début septembre.",| Plaisance| Didot| Jean Moulin
Location Appartement,Neuilly-sur-Seine (92200),2.950 €,4 pièces 3 chambres 85 m²,"Appartement lumineux et calme, 3eme étage sur cours et jardin,
proche métro Sablon et bois de Boulogne, jardin d'acclimatation (5 min à pied).

Trois chambres, un salon salle à manger, cuisine à l'américaine, une salle de bains (douche et baignoire ), toilettes séparées. Colocation possible. location vide possible.",| Les Sablons (Jardin d'Acclimatation)| Porte Maillot (Palais des Congrès)| Neuilly - Porte Maillot
Location Appartement,Levallois-Perret (92300),1.350 €,2 pièces 1 chambre 34 m²,"Très beau 2 pièces entièrement refait à neuf, au 2e étage dans un immeuble calme.
Appartement de 34.4 m², très lumineux et bien aménagé (de nombreux rangements). Cuisine ouverte sur le salon, toute équipée à neuf (lave-vaisselle, micro-ondes, réfrigérateur, plaques de cuisson, lave-linge), chambre spacieuse et salle de bains avec douche.
+ une cave.
Disponible à compter du 1/10.
Au pied du métro Anatole France (ligne 3), proximité tous commerces.

-loyer : 1350 E/mois charges comprises.",| Anatole France| Louise Michel| Pont de Levallois - Bécon
Location Appartement,Saint-Germain-en-Laye (78100),790 €,1 pièce 27 m²,"St-Germain-en-Laye, proche Sciences-Po et lycée International.
Studio 27,33 m2 (loi Boutin) très bon état + balcon. Cuisine américaine avec table, plaque de cuisson, salle d'eau avec wc.
Au 2ème étage (ascenseur), immeuble Eldorado rue de la Vieille Butte, avec piscine, gardien, interphone. Loyer charges comprises.",| Gare de Saint-Germain-en-Laye - Bel-Air - Fourqueux| Saint-Germain-en-Laye - Grande-Ceinture| Saint-Germain-en-Laye
Location Appartement,Boulogne-Billancourt (92100),1.775 €,2 pièces 1 chambre 52 m²,"Pont de Saint Cloud/Rhin et Danube/OCDE. Libre 31 octobre. Appartement de standing meublé. Accès facile.
Verdure, calme et confort. Prestations haut de gamme. Aucun point faible. Garage sous résidence possible. Proche tous commerces.

Métro 10 Pont de Saint Cloud + Bus 52 et 72 à 5 min à pied ; Tramway T2 Parc de Saint cloud 10 min (La Défense à 25 min porte à porte). Mairie 15 min à pieds. Double accès y compris par le quai le Gallo. Jouxte OCDE.

Dans un parc privé arboré et fleuri, en libre accès aux habitants, calme et charmant. Comme à la campagne. Gardien, sécurisé.

Toutes pièces très claires. Balcon-terrasse de 17 m², Ouest, soleil l'après midi.
+ Grande chambre lit King size (180).
+ Salle de bains avec wc, radiateur sèche serviettes, douche italienne et lave-linge.
+ Salon-salle à manger avec un canapé convertible (140) très confortable, TV Led 103cm,
+ Cuisine équipée séparée avec lave-vaisselle.
+ Nombreux rangements dans l'entrée, le vestibule et les autres pièces.
+ Toutes les pièces ont accès au balcon. Volets électriques.
+ Connexion fibre
Idéal couple. Aussi agréable et fonctionnel en semaine qu'en week-end.

Plan très optimisé. Parfait état général. Copropriété sympathique et très bien entretenue.

Chauffage et eau chaude collectifs. Charges incluses 220 €/mois (comprennent eau chaude et froide, chauffage).

Double vitrage.
1er étage avec ascenseur. Convient aux personnes qui ont des difficultés de déplacement.

Possibilité de parking sous la résidence (+ 100 €mois).",| Boulogne - Pont de Saint-Cloud (Rhin et Danube)| Parc de Saint-Cloud| Boulogne - Jean Jaurès
Location Appartement,Paris 18e (75018),1.954 €,2 pièces 1 chambre 45 m²,"Appartement meublé de 2 pièces à Montmartre, très lumineux, refait à neuf, prestations haut de gamme, 45 m2 environ.",| Château Rouge| Barbès - Rochechouart| Anvers
Location Appartement,Le Plessis-Robinson (92350),1.150 €,2 pièces 1 chambre 42 m²,"Dans une résidence de standing, un appartement 2 pièces de 42.24 m² au 4ème étage avec vue sur plan d'eau offrant : une entrée, un séjour donnant sur une loggia de 8,27 m², une cuisine ouverte équipée (four, hotte, plaque induction) une chambre avec placard et une salle d'eau avec wc.

Loué avec une place de parking en sous-sol et une double cave de 6m².
Disponible le 2 octobre 2022
Loyer : 1.150 euros par mois, charges comprises (provision donnant lieu à régularisation annuelle)
Dépôt de garantie : 1.080 euros.",| Mail de la Plaine| Pavé Blanc| Hôpital Béclère
Location Maison,Montreuil (93100),1.700 €,3 pièces 2 chambres 75 m² Terrain 95 m²,"Une maison neuve 2022, quartier agréable et arboré, commerces à 400m, bus 127 pour Croix de Chavaux à 50m, RER Val de Fontenay à 1km.
2 petits jardins, Nord et Sud. Maison très lumineuse plein sud, 14 baies et fenêtres, Nord/Sud/Est/Ouest. Ossature bois au R1 et R2 maison passive, RT 2012 charges minimum en chauffage électrique.
Rez de chaussée : salon, cuisine, WC.
R1 : Grande chambre de 17m2 et salle de bains
R2 : Plateau de 25 m2 très lumineux (2 grandes fenêtres et 2 baies).
Disponible le 15 Septembre 2022",| Théophile Sueur| Côte du Nord| Rue de Rosny
Location Appartement,Saint-Maur-des-Fossés (94100),900 €,1 pièce 30 m²,"Beau studio avec cuisine équipée proche gare RER A et centre ville
accès 5 minutes a pied bord de Marne.

Cuisine équipée de plaque vitro, four, grand frigo et congélateur, micro-ondes
Coin bureau
Dressing
Salle d'eau.",| Le Parc de Saint-Maur| Saint-Maur - Créteil| Joinville-le-Pont
Location Appartement,Paris 18e (75018),1.280 €,2 pièces 1 chambre 37 m²,"Paris 18e. Très beau 2, pièces, meublé, 36 m². Parfait état, clair, sans vis-à-vis, vue dégagée sur l'église Notre Dame de Clignancourt. Entrée, salle d'eau et cuisine équipée avec tous les conforts. Moulures au plafond, parquet massif, deux cheminées. Au 4e sans ascenseur, cave. Dans bel immeuble haussmannien de bonne tenue, gardienne, digicode, à 2 min à pied du métro Jules Joffrin.

Bail résidence secondaire/bail mobilité possible, contrat de 6 mois minimum,
(bail mobilité : pour un séjour lors d'une formation, d'une mission professionnelle ou temporaire, stagiaire).
Indiquez la durée de location souhaitée.
Libre à partir du 19 octobre. Pas de colocation.


Montmartre. Charming furnished apartment, 36 m². Perfect condition, bright, very private, unobstructed stunning view to the church ND de Clignancourt. Living room, 1 bedroom, small kitchen with appliances, small bathroom and elegant entrance. Original wooden parquet flooring and lovely cornice ceiling. 4th floor, no elevator. In beautiful well maintained Haussmann building, concierge, digital door code, 2 minutes walking distance from Metro Jules Joffrin.

Can be rented as a secondary residence as well as under the new french 'bail mobilité'
(conditions for bail mobilité: internships or apprenticeship, professional training,
temporary professional assignment, civic engagement) contract duration at least 6 month desired.
Communication in English preferred.
Available from 19 october. No flat share.",| Jules Joffrin| Simplon| Porte de Clignancourt
